s0,d(s0),Set,f(vij)obs,f(vij=1/q0)ref,?D1(sI),?D2(sII),?D3(sIII),?D4(sIV),?D5(sI),?D6(sII),?D7(sIII)
Fluorescence-ND ,1,t,1,0.16,200.3756,549.52,0.00,-0.86,-253.9645,-1.88,0.00
Fluorescence-ND ,1,t,1,0.13,200.3756,549.52,0.00,-0.86,-253.9645,-1.88,0.00
Zeta Potential (mV)-ND,-1,v,0,0.24,200.3756,549.52,0.00,-0.86,-253.9645,-1.88,0.00
Fluorescence Intensity-ND,1,t,0,0.35,200.3756,549.52,0.00,-0.86,-253.9645,-1.88,0.00
Fluorescence-ND ,1,t,1,0.16,50.3756,99.52,0.00,-0.86,-253.9645,-1.88,0.00
Fluorescence-ND ,1,t,1,0.13,50.3756,99.52,0.00,-0.86,-253.9645,-1.88,0.00
Zeta Potential (mV)-ND,-1,v,0,0.24,50.3756,99.52,0.00,-0.86,-253.9645,-1.88,0.00
Fluorescence Intensity-ND,1,t,0,0.35,50.3756,99.52,0.00,-0.86,-253.9645,-1.88,0.00
Fluorescence-ND ,1,t,1,0.16,-44.6244,-50.48,0.00,-0.86,-253.9645,-1.88,0.00
Fluorescence-ND ,1,t,1,0.13,-44.6244,-50.48,0.00,-0.86,-253.9645,-1.88,0.00
Fluorescence-ND ,1,v,1,0.16,-41.6244,-16.31,0.00,-0.86,-253.9645,-1.73,0.00
Fluorescence-ND ,1,t,1,0.13,-41.6244,-16.31,0.00,-0.86,-253.9645,-1.73,0.00
Zeta Potential (mV)-ND,-1,t,0,0.24,-41.6244,-16.31,0.00,-0.86,-253.9645,-1.73,0.00
Fluorescence-ND ,1,t,1,0.16,-34.6452,-146.48,0.00,1.18,-421.0956,2.06,7854.68
Fluorescence-ND ,1,v,1,0.13,-34.6452,-146.48,0.00,1.18,-421.0956,2.06,7854.68
IC50 (µg/mL),-1,t,1,0.26,-34.6452,-146.48,0.00,1.18,-421.0956,2.06,7854.68
IC50 (µg/mL),-1,t,0,0.26,-34.6452,-143.48,-1.58,0.16,-133.2574,-0.08,-44.66
IC50 (µg/mL),-1,t,0,0.26,-45.6244,-143.48,0.00,-0.86,-253.9645,-1.88,0.00
Fluorescence-ND ,1,v,1,0.16,-45.6244,-143.48,0.00,-0.86,-253.9645,-1.88,0.00
Fluorescence-ND ,1,t,1,0.13,-45.6244,-143.48,0.00,-0.86,-253.9645,-1.88,0.00
Fluorescence Intensity-ND,1,t,1,0.35,-45.6244,-143.48,0.00,-0.86,-253.9645,-1.88,0.00
Fluorescence Intensity-ND,1,t,1,0.35,-45.6244,-143.48,0.00,-0.86,-253.9645,-1.88,0.00
Fluorescence-ND ,1,v,1,0.16,129.3548,74.20,-1.03,1.83,-342.4980,-0.10,16.49
Fluorescence-ND ,1,t,1,0.13,129.3548,74.20,-1.03,1.83,-342.4980,-0.10,16.49
Fluorescence Intensity-ND,1,t,1,0.35,129.3548,74.20,-1.03,1.83,-342.4980,-0.10,16.49
Fluorescence Intensity-ND,1,t,1,0.35,129.3548,74.20,-1.03,1.83,-342.4980,-0.10,16.49
Fluorescence-ND ,1,v,0,0.16,-25.6452,-80.80,7.16,1.94,-354.6130,0.92,-6.47
Fluorescence-ND ,1,t,0,0.13,-25.6452,-80.80,7.16,1.94,-354.6130,0.92,-6.47
Fluorescence-ND ,1,t,1,0.16,-34.6452,-51.07,0.00,-0.06,-227.9422,1.51,0.00
Fluorescence-ND ,1,t,1,0.13,-34.6452,-51.07,0.00,-0.06,-227.9422,1.51,0.00
Fluorescence-ND ,1,v,0,0.13,-34.6452,-51.07,0.00,-0.06,-227.9422,1.51,0.00
Fluorescence Intensity-ND,1,t,1,0.24,-34.6452,-51.07,0.00,-0.06,-227.9422,1.51,0.00
Fluorescence Intensity-ND,1,t,0,0.19,-34.6452,-51.07,0.00,-0.06,-227.9422,1.51,0.00
Fluorescence Intensity-ND,1,t,0,0.24,-34.6452,-51.07,0.00,-0.06,-227.9422,1.51,0.00
Fluorescence-ND ,1,v,1,0.16,-18.6452,-35.07,-0.15,0.10,447.7118,-1.21,-12.25
Fluorescence-ND ,1,t,1,0.13,-18.6452,-35.07,-0.15,0.10,447.7118,-1.21,-12.25
Fluorescence-ND ,1,t,0,0.16,-18.6452,-35.07,-0.15,0.10,447.7118,-1.21,-12.25
Fluorescence Intensity-ND,1,t,0,0.24,-18.6452,-35.07,-0.15,0.10,447.7118,-1.21,-12.25
Fluorescence Intensity-ND,1,v,0,0.19,-18.6452,-35.07,-0.15,0.10,447.7118,-1.21,-12.25
Fluorescence Intensity-ND,1,t,0,0.24,-18.6452,-35.07,-0.15,0.10,447.7118,-1.21,-12.25
Fluorescence-ND ,1,t,1,0.16,1.3548,-15.07,-0.15,0.10,447.7118,-1.21,-12.25
Fluorescence-ND ,1,t,1,0.13,1.3548,-15.07,-0.15,0.10,447.7118,-1.21,-12.25
Fluorescence Intensity-ND,1,v,1,0.19,1.3548,-15.07,-0.15,0.10,447.7118,-1.21,-12.25
Fluorescence Intensity-ND,1,t,1,0.24,1.3548,-15.07,-0.15,0.10,447.7118,-1.21,-12.25
Fluorescence Intensity-ND,1,t,1,0.19,1.3548,-48.32,-0.15,0.10,447.7118,-0.39,-12.25
Fluorescence Intensity-ND,1,t,1,0.24,1.3548,-48.32,-0.15,0.10,447.7118,-0.39,-12.25
Fluorescence-ND ,1,v,1,0.16,41.3548,-8.32,-0.15,0.10,447.7118,-0.39,-12.25
Fluorescence-ND ,1,t,1,0.13,41.3548,-8.32,-0.15,0.10,447.7118,-0.39,-12.25
Fluorescence Intensity-ND,1,t,0,0.19,41.3548,-8.32,-0.15,0.10,447.7118,-0.39,-12.25
Fluorescence Intensity-ND,1,t,0,0.24,41.3548,-8.32,-0.15,0.10,447.7118,-0.39,-12.25
Fluorescence Intensity-ND,1,v,0,0.19,41.3548,-8.32,-0.15,0.00,447.7118,-0.39,-12.25
Fluorescence Intensity-ND,1,t,0,0.24,41.3548,-8.32,-0.15,0.00,447.7118,-0.39,-12.25
Fluorescence-ND ,1,t,1,0.16,111.3548,61.68,-0.15,0.00,447.7118,-0.39,-12.25
Fluorescence-ND ,1,t,1,0.13,111.3548,61.68,-0.15,0.00,447.7118,-0.39,-12.25
Fluorescence Intensity-ND,1,v,1,0.35,111.3548,61.68,-0.15,0.00,447.7118,-0.39,-12.25
Fluorescence Intensity-ND,1,t,1,0.35,111.3548,61.68,-0.15,0.00,447.7118,-0.39,-12.25
Fluorescence-ND ,1,t,1,0.16,11.3548,8.27,0.00,-0.35,-421.0956,0.58,-2945.51
Fluorescence-ND ,1,t,1,0.13,11.3548,8.27,0.00,-0.35,-421.0956,0.58,-2945.51
Zeta Potential (mV)-ND,-1,v,0,0.13,11.3548,8.27,0.00,-0.35,-421.0956,0.58,-2945.51
Zeta Potential (mV)-ND,-1,t,0,0.16,11.3548,8.27,0.00,-0.35,-421.0956,0.58,-2945.51
IC50 (µg/mL),-1,t,0,0.26,11.3548,8.27,0.00,-0.35,-421.0956,0.58,-2945.51
