s0,d(s0),Set,f(vij)obs,f(vij=1/q0)ref,?D1(sI),?D2(sII),?D3(sIII),?D4(sIV),?D5(sI),?D6(sII),?D7(sIII)
Fluorescence-ND ,1,v,0,0.24,-33.6452,-142.48,-4.78,-0.11,-421.0380,3.67,-18.14
Fluorescence-ND ,1,t,0,0.24,50.3756,-15.85,0.38,-0.13,95.9422,0.00,7.28
Fluorescence-ND ,1,t,0,0.16,-44.6244,-21.31,0.00,-0.13,95.9422,1.29,0.00
Fluorescence-ND ,1,t,1,0.13,-44.6244,-21.31,0.00,-0.13,95.9422,1.29,0.00
Fluorescence-ND ,1,v,0,0.16,-44.6244,-21.31,0.00,-0.13,95.9422,1.29,0.00
Fluorescence-ND ,1,t,1,0.13,-44.6244,-21.31,0.00,-0.13,95.9422,1.29,0.00
Fluorescence-ND ,1,t,0,0.16,-28.6452,-140.48,0.57,0.60,-350.7568,1.40,-13.84
Fluorescence-ND ,1,t,0,0.24,-44.6244,17.47,0.38,-0.13,95.9422,-0.43,7.28
Fluorescence-ND ,1,v,0,0.16,-35.6452,-50.07,0.00,0.78,-421.0378,3.18,0.00
Fluorescence-ND ,1,t,1,0.13,-35.6452,-50.07,0.00,0.78,-421.0378,3.18,0.00
Fluorescence-ND ,1,t,1,0.16,0.0000,-86.73,0.00,0.16,2547.0279,0.44,0.00
Fluorescence-ND ,1,t,1,0.13,0.0000,-86.73,0.00,0.16,2547.0279,0.44,0.00
Fluorescence-ND ,1,v,0,0.24,70.3756,93.69,0.38,-0.13,95.9422,1.29,7.28
Zeta Potential (mV)-ND,-1,t,0,0.24,70.3756,93.69,0.38,-0.13,95.9422,1.29,7.28
Fluorescence-ND ,1,t,1,0.16,-48.6244,-45.07,0.00,-0.13,95.9422,-0.26,0.00
Fluorescence-ND ,1,t,1,0.13,-48.6244,-45.07,0.00,-0.13,95.9422,-0.26,0.00
IC50 (µg/mL),-1,v,0,0.26,-48.6244,-45.07,0.00,-0.13,95.9422,-0.26,0.00
Fluorescence-ND ,1,t,0,0.24,0.0000,-24.57,0.00,0.00,546.1467,-0.39,0.00
Fluorescence-ND ,1,t,0,0.24,61.3548,44.93,0.00,-0.06,-227.9422,1.51,0.00
Zeta Potential (mV)-ND,-1,t,0,0.24,61.3548,44.93,0.00,-0.06,-227.9422,1.51,0.00
Fluorescence-ND ,1,v,0,0.24,-48.6244,-45.07,0.00,-0.13,95.9422,-0.26,0.00
Zeta Potential (mV)-ND,-1,t,1,0.24,-48.6244,-45.07,0.00,-0.13,95.9422,-0.26,0.00
Zeta Potential (mV)-ND,-1,t,0,0.24,-48.6244,-45.07,0.00,-0.13,95.9422,-0.26,0.00
Fluorescence-ND ,1,t,0,0.24,-14.3077,-45.07,-1.78,-0.46,0.0000,0.45,-8.14
Fluorescence-ND ,1,v,0,0.24,0.0000,8.68,0.38,-0.13,58.3178,-0.26,7.28
Fluorescence-ND ,1,t,0,0.24,-8.6452,749.52,0.00,-0.09,-109.5087,0.46,-19.73
Fluorescence-ND ,1,t,1,0.16,0.0000,8.68,0.00,0.24,-275.2643,5.17,0.00
Fluorescence-ND ,1,t,1,0.13,0.0000,8.68,0.00,0.24,-275.2643,5.17,0.00
Fluorescence-ND ,1,v,0,0.24,-35.6452,-48.07,0.00,-1.01,-227.0777,1.60,0.00
IC50 (µg/mL),-1,t,0,0.26,-45.6244,-32.27,0.00,-0.13,95.9422,0.12,0.00
IC50 (µg/mL),-1,t,0,0.26,-45.6244,-32.27,0.00,-0.13,95.9422,0.12,0.00
Fluorescence-ND ,1,t,0,0.24,-45.6244,-32.27,0.00,-0.13,95.9422,0.12,0.00
Fluorescence-ND ,1,v,0,0.24,-45.6244,-32.27,0.00,-0.13,95.9422,0.12,0.00
Fluorescence-ND ,1,t,0,0.24,-33.6452,-140.48,0.00,0.15,585.6602,0.43,0.00
Zeta Potential (mV)-ND,-1,t,0,0.24,-33.6452,-140.48,0.00,0.15,585.6602,0.43,0.00
Fluorescence-ND ,1,t,0,0.24,-34.9452,-146.78,0.00,0.00,-421.0378,4.58,0.00
Zeta Potential (mV)-ND,-1,v,1,0.24,-34.9452,-146.78,0.00,0.00,-421.0378,4.58,0.00
Fluorescence Intensity-ND,1,t,1,0.35,-34.9452,-146.78,0.00,0.00,-421.0378,4.58,0.00
Fluorescence Intensity-ND,1,t,1,0.35,-34.9452,-146.78,0.00,0.00,-421.0378,4.58,0.00
Zeta Potential (mV)-ND,-1,t,1,0.24,-34.9452,-146.78,0.00,0.00,-421.0378,4.58,0.00
Fluorescence-ND ,1,v,0,0.24,1.3548,8.27,0.00,0.00,-421.0378,3.10,0.00
Zeta Potential (mV)-ND,-1,t,1,0.24,1.3548,8.27,0.00,0.00,-421.0378,3.10,0.00
Fluorescence Intensity-ND,1,t,1,0.35,1.3548,8.27,0.00,0.00,-421.0378,3.10,0.00
Fluorescence Intensity-ND,1,t,1,0.35,1.3548,8.27,0.00,0.00,-421.0378,3.10,0.00
Zeta Potential (mV)-ND,-1,v,1,0.24,1.3548,8.27,0.00,0.00,-421.0378,3.10,0.00
Fluorescence-ND ,1,t,0,0.24,61.3548,188.27,0.00,0.00,-421.0378,3.10,0.00
Fluorescence-ND ,1,t,0,0.24,-34.6452,-145.48,0.00,0.23,4770.9022,1.24,0.00
Fluorescence-ND ,1,t,0,0.24,0.0000,8.68,0.00,0.24,-275.2643,5.17,0.00
Fluorescence-ND ,1,v,0,0.24,-34.6452,-145.48,0.00,0.45,-420.6858,0.18,0.00
Fluorescence-ND ,1,t,1,0.24,61.3548,47.47,0.00,0.78,-421.0378,3.01,0.00
Fluorescence-ND ,1,t,1,0.24,61.3548,47.47,0.00,0.78,-421.0378,3.01,0.00
Fluorescence-ND ,1,t,1,0.24,61.3548,47.47,0.00,0.78,-421.0378,3.01,0.00
Fluorescence-ND ,1,v,0,0.16,0.0000,8.68,0.38,-0.13,58.3178,-0.26,7.28
Fluorescence-ND ,1,t,0,0.24,-28.6452,0.00,0.00,-0.06,-227.9422,1.07,0.00
Fluorescence-ND ,1,t,0,0.24,-8.6452,44.93,0.00,0.54,-342.1896,-0.16,-46.64
Fluorescence-ND ,1,t,0,0.16,-37.9500,-142.48,0.00,-0.13,0.0000,1.14,0.00
Fluorescence-ND ,1,v,1,0.13,-37.9500,-142.48,0.00,-0.13,0.0000,1.14,0.00
Fluorescence-ND ,1,t,0,0.24,-30.6452,-41.23,-1.03,0.30,-342.4980,0.11,16.49
Fluorescence-ND ,1,t,0,0.24,-30.6452,-41.23,-1.03,0.30,-342.4980,0.11,16.49
Fluorescence-ND ,1,t,0,0.16,-35.6452,-140.48,0.00,0.12,-241.9316,0.48,0.00
Fluorescence-ND ,1,v,1,0.16,58.0500,-50.48,0.38,-0.13,0.0000,1.14,-113.74
Fluorescence-ND ,1,t,1,0.13,0.0000,8.68,0.38,-0.13,58.3178,-0.26,7.28
Fluorescence-ND ,1,t,1,0.16,50.3756,44.93,0.38,-0.13,95.9422,-0.26,7.28
Fluorescence-ND ,1,t,1,0.13,50.3756,44.93,0.38,-0.13,95.9422,-0.26,7.28
Fluorescence Intensity-ND,1,v,1,0.35,50.3756,44.93,0.38,-0.13,95.9422,-0.26,7.28
Fluorescence-ND ,1,t,1,0.16,-33.6452,-145.48,-1.03,0.30,-342.4980,1.48,16.49
Fluorescence-ND ,1,t,1,0.13,-33.6452,-145.48,-1.03,0.30,-342.4980,1.48,16.49
Fluorescence Intensity-ND,1,t,1,0.35,-33.6452,-145.48,-1.03,0.30,-342.4980,1.48,16.49
IC50 (µg/mL),-1,v,1,0.26,-23.6452,-46.73,-1.03,0.30,-342.4980,0.00,16.49
Fluorescence-ND ,1,t,0,0.24,-24.6452,-136.48,0.00,0.21,68.5338,0.42,0.00
Fluorescence-ND ,1,t,0,0.24,0.0000,8.68,0.38,-0.13,0.0000,-0.26,-113.74
Fluorescence-ND ,1,t,0,0.24,-19.6244,-70.48,0.00,-0.13,95.9422,1.14,0.00
Fluorescence-ND ,1,v,1,0.16,-33.6452,-140.48,0.00,-0.04,333.2125,-0.13,0.00
Fluorescence-ND ,1,t,1,0.13,-33.6452,-140.48,0.00,-0.04,333.2125,-0.13,0.00
Fluorescence-ND ,1,t,0,0.24,-19.6244,6.20,0.00,-0.13,95.9422,-0.44,0.00
Fluorescence-ND ,1,t,0,0.24,-15.3077,-144.48,-13.89,0.00,0.0000,1.33,-113.73
Fluorescence-ND ,1,v,0,0.24,-15.3077,-144.48,-13.89,0.00,0.0000,1.33,-113.73
Fluorescence-ND ,1,t,0,0.16,0.0000,8.68,0.38,-0.13,58.3178,-0.26,7.28
Fluorescence-ND ,1,t,0,0.24,20.3756,8.27,0.38,-0.13,95.9422,-0.34,7.28
Fluorescence-ND ,1,t,0,0.24,-35.6452,-140.48,-4.78,-0.11,-421.0380,3.67,-18.14
Fluorescence-ND ,1,v,0,0.24,-33.6452,-11.73,-4.78,-0.11,-421.0380,2.19,-18.14
Fluorescence-ND ,1,t,0,0.24,-44.6244,-145.48,0.38,-0.13,95.9422,1.14,7.28
Fluorescence-ND ,1,t,0,0.16,-34.6452,-146.48,0.00,0.13,1443.4870,0.07,0.00
Fluorescence-ND ,1,t,0,0.24,-4.6244,-10.07,0.38,-0.13,95.9422,-0.26,7.28
Fluorescence-ND ,1,v,0,0.24,-45.6244,-144.48,0.00,-0.13,95.9422,1.14,0.00
Fluorescence-ND ,1,t,0,0.24,-37.6452,-45.07,-1.03,0.30,-342.4980,0.08,-18.84
Fluorescence-ND ,1,t,1,0.13,50.3756,44.93,0.00,-0.13,95.9422,-0.26,0.00
Fluorescence-ND ,1,t,0,0.24,0.0000,8.68,0.38,-0.13,58.3178,-0.26,7.28
Fluorescence-ND ,1,v,0,0.24,-35.6452,-145.48,1.55,0.42,-339.3471,0.78,-7.90
Fluorescence-ND ,1,t,0,0.24,-18.6452,-41.73,-1.03,0.30,-342.4980,0.00,-18.84
Fluorescence-ND ,1,t,0,0.24,-18.6452,-41.73,-1.03,0.30,-342.4980,0.00,-18.84
Fluorescence-ND ,1,t,0,0.24,11.3548,-11.73,-1.03,0.30,-342.4980,0.00,-18.84
Fluorescence-ND ,1,v,0,0.24,11.3548,-11.73,-1.03,0.30,-342.4980,0.00,-18.84
Fluorescence-ND ,1,t,1,0.16,61.3548,38.27,-1.03,0.30,-342.4980,0.00,-18.84
Fluorescence-ND ,1,t,1,0.13,61.3548,38.27,-1.03,0.30,-342.4980,0.00,-18.84
Fluorescence-ND ,1,t,1,0.16,61.3548,38.27,-1.03,0.30,-342.4980,0.00,-18.84
Fluorescence-ND ,1,v,1,0.13,61.3548,38.27,-1.03,0.30,-342.4980,0.00,-18.84
Fluorescence-ND ,1,t,1,0.16,50.3756,44.93,0.38,-0.13,95.9422,-0.26,7.28
Fluorescence-ND ,1,t,1,0.13,50.3756,44.93,0.38,-0.13,95.9422,-0.26,7.28
Fluorescence-ND ,1,t,0,0.24,50.3756,38.27,0.38,-0.13,95.9422,-0.34,7.28
Fluorescence-ND ,1,v,0,0.24,0.0000,2.03,3.80,-0.13,58.3178,-0.34,115.51
Fluorescence-ND ,1,t,0,0.24,-29.6244,-31.73,0.38,-0.13,95.9422,-0.34,7.28
Fluorescence-ND ,1,t,0,0.16,11.3548,-5.07,0.00,0.24,-373.6993,5.17,0.00
Fluorescence-ND ,1,t,0,0.24,-33.6452,-45.07,0.00,0.24,-420.9223,-1.36,0.00
Fluorescence-ND ,1,v,0,0.24,0.3756,-11.73,0.38,-0.13,95.9422,-0.34,7.28
Fluorescence-ND ,1,t,0,0.24,-33.6452,-145.48,0.00,-0.17,-314.8286,2.12,0.00
Fluorescence-ND ,1,t,0,0.24,-14.6244,-26.73,0.38,-0.13,95.9422,-0.34,7.28
Fluorescence-ND ,1,t,1,0.16,0.0000,8.68,0.38,-0.13,58.3178,-0.26,7.28
Fluorescence-ND ,1,v,1,0.13,0.0000,8.68,0.38,-0.13,58.3178,-0.26,7.28
Fluorescence-ND ,1,t,0,0.24,-29.6244,-12.53,0.38,-0.13,95.9422,-0.43,7.28
Fluorescence-ND ,1,t,0,0.16,-37.6244,-43.73,0.38,-0.13,95.9422,-0.34,7.28
Fluorescence-ND ,1,t,1,0.13,-37.6244,-43.73,0.38,-0.13,95.9422,-0.34,7.28
Fluorescence-ND ,1,v,0,0.24,-45.6244,-140.48,0.38,-0.13,95.9422,1.14,7.28
Fluorescence-ND ,1,t,0,0.16,-31.8452,-143.68,1.55,0.42,-339.3471,0.78,-7.90
Fluorescence-ND ,1,t,0,0.16,-15.3077,-145.48,0.00,-0.73,0.0000,1.33,0.00
Fluorescence-ND ,1,t,1,0.16,-44.6244,-50.07,0.38,-0.13,95.9422,-0.26,7.28
Fluorescence-ND ,1,v,1,0.13,0.0000,8.68,0.38,-0.13,58.3178,-0.26,7.28
Fluorescence-ND ,1,t,0,0.24,50.3756,10.00,0.38,-0.13,95.9422,0.13,7.28
Fluorescence-ND ,1,t,0,0.24,50.3756,10.00,0.38,-0.13,95.9422,0.13,7.28
Fluorescence-ND ,1,t,1,0.16,-3.6452,-47.53,0.00,-0.02,16.4051,-1.28,0.00
Fluorescence-ND ,1,v,1,0.13,-3.6452,-47.53,0.00,-0.02,16.4051,-1.28,0.00
Fluorescence-ND ,1,t,1,0.16,-3.6452,-47.53,0.00,-0.02,16.4051,-1.28,0.00
Fluorescence-ND ,1,t,1,0.13,-3.6452,-47.53,0.00,-0.02,16.4051,-1.28,0.00
Fluorescence-ND ,1,t,0,0.16,-34.6452,-145.48,0.00,-0.10,-65.9001,-0.02,0.00
Fluorescence-ND ,1,v,0,0.24,50.3756,10.00,0.00,-0.13,95.9422,0.13,0.00
Fluorescence-ND ,1,t,0,0.24,50.3756,10.00,0.00,-0.13,95.9422,0.13,0.00
Fluorescence-ND ,1,t,0,0.24,50.3756,10.00,0.00,-0.13,95.9422,0.13,0.00
Fluorescence-ND ,1,t,1,0.16,0.0000,8.68,0.00,0.51,-259.9281,1.38,0.00
Fluorescence-ND ,1,v,1,0.13,0.0000,8.68,0.00,0.51,-259.9281,1.38,0.00
Fluorescence-ND ,1,t,0,0.24,-8.6452,-120.48,0.00,-0.11,-421.0380,3.67,0.00
Fluorescence-ND ,1,t,0,0.24,0.3756,244.93,0.38,-0.13,95.9422,-0.26,7.28
Fluorescence-ND ,1,t,0,0.24,-39.6244,-35.07,0.00,-0.13,95.9422,-0.26,0.00
Fluorescence-ND ,1,v,1,0.16,-5.0944,-10.54,0.38,1.39,95.9422,-0.26,7.28
Fluorescence-ND ,1,t,1,0.13,-5.0944,-10.54,0.38,1.39,95.9422,-0.26,7.28
IC50 (µg/mL),-1,t,0,0.26,-5.0944,-10.54,0.38,1.39,95.9422,-0.26,7.28
Fluorescence-ND ,1,t,0,0.16,-37.6452,-140.48,0.00,2.14,-321.4314,7.16,0.00
Fluorescence-ND ,1,v,0,0.16,-44.6244,194.93,0.00,-0.13,95.9422,-0.26,0.00
Fluorescence-ND ,1,t,0,0.16,65.7548,16.08,-1.03,0.30,-342.4980,0.90,-18.84
Fluorescence-ND ,1,t,1,0.13,0.0000,8.68,0.00,-0.86,-291.5889,-3.27,0.00
Fluorescence-ND ,1,t,0,0.16,109.7548,60.08,-1.03,0.30,-342.4980,0.90,-18.84
Fluorescence Intensity-ND,1,v,0,0.35,50.3756,-50.48,0.38,-0.13,95.9422,1.14,7.28
Fluorescence Intensity-ND,1,t,1,0.35,25.3548,-86.48,0.00,0.42,-339.3471,0.78,0.00
Fluorescence-ND ,1,t,0,0.24,61.3548,44.93,0.00,0.54,-342.1896,-0.16,-46.64
Fluorescence-ND ,1,t,1,0.16,-1.9500,44.93,0.38,-0.13,0.0000,-0.26,65.80
Fluorescence-ND ,1,v,1,0.13,-1.9500,44.93,0.38,-0.13,0.0000,-0.26,65.80
Fluorescence-ND ,1,t,0,0.24,-40.9500,-145.48,0.38,-0.13,0.0000,1.14,65.80
Fluorescence-ND ,1,t,1,0.13,50.3756,38.27,0.38,-0.13,95.9422,-0.34,7.28
Fluorescence-ND ,1,t,0,0.24,-32.6452,-140.48,-1.54,0.42,-339.3471,0.78,-17.26
Fluorescence-ND ,1,v,0,0.24,-33.6452,4.93,0.00,0.00,-198.6275,-0.30,0.00
Fluorescence-ND ,1,t,0,0.16,0.0000,8.68,0.38,-0.13,58.3178,-0.26,7.28
Fluorescence-ND ,1,t,0,0.16,-31.6244,-43.73,0.00,-0.13,95.9422,-0.34,0.00
Fluorescence-ND ,1,t,0,0.13,-31.6244,-43.73,0.00,-0.13,95.9422,-0.34,0.00
Fluorescence-ND ,1,v,1,0.16,-33.6452,-83.32,0.00,-0.02,16.4051,-0.28,0.00
Fluorescence-ND ,1,t,1,0.13,-33.6452,-83.32,0.00,-0.02,16.4051,-0.28,0.00
Fluorescence-ND ,1,t,1,0.16,-18.6452,-6.31,1.39,0.46,-244.3464,1.53,-12.37
Fluorescence-ND ,1,t,1,0.13,-18.6452,-6.31,1.39,0.46,-244.3464,1.53,-12.37
Fluorescence-ND ,1,v,0,0.24,-48.6244,38.27,0.38,-0.13,95.9422,-0.34,7.28
Fluorescence-ND ,1,t,0,0.24,1.3548,-21.73,0.00,0.19,555.3137,-1.03,0.00
Fluorescence-ND ,1,t,0,0.24,-46.6244,-144.48,0.38,-0.13,95.9422,1.14,7.28
Fluorescence-ND ,1,t,0,0.24,-44.6244,-145.48,2.78,-0.13,95.9422,1.14,153.87
Fluorescence-ND ,1,v,0,0.16,-48.6244,44.93,12.49,1.39,95.9422,-0.26,57.01
Fluorescence-ND ,1,t,0,0.24,-48.6244,-145.48,0.38,-0.13,95.9422,1.14,7.28
Fluorescence-ND ,1,t,0,0.24,-45.6244,-145.48,0.38,-0.13,95.9422,1.14,7.28
Fluorescence-ND ,1,t,0,0.24,-34.6452,-146.48,0.00,1.77,-373.6993,6.57,0.00
IC50 (µg/mL),-1,v,1,0.26,0.0000,8.68,0.00,-0.86,-291.5889,-3.27,0.00
Fluorescence-ND ,1,t,0,0.16,0.0000,8.68,-0.59,0.00,-322.2562,-2.58,53.63
Zeta Potential (mV)-ND,-1,t,1,0.13,0.0000,8.68,-0.59,0.00,-322.2562,-2.58,53.63
Zeta Potential (mV)-ND,-1,t,1,0.16,0.0000,8.68,-0.59,0.00,-322.2562,-2.58,53.63
Zeta Potential (mV)-ND,-1,v,1,0.13,-36.6452,44.93,3.49,0.46,-244.3464,-0.02,-14.91
Zeta Potential (mV)-ND,-1,t,1,0.16,-36.6452,44.93,3.49,0.46,-244.3464,-0.02,-14.91
Zeta Potential (mV)-ND,-1,t,1,0.13,-36.6452,44.93,3.49,0.46,-244.3464,-0.02,-14.91
Zeta Potential (mV)-ND,-1,t,1,0.16,-36.6452,44.93,3.49,0.46,-244.3464,-0.02,-14.91
Fluorescence-ND ,1,v,0,0.16,21.3548,-28.32,3.74,2.93,-342.1896,0.66,-8.48
Fluorescence-ND ,1,t,1,0.13,21.3548,-28.32,3.74,2.93,-342.1896,0.66,-8.48
Zeta Potential (mV)-ND,-1,t,1,0.13,21.3548,-28.32,3.74,2.93,-342.1896,0.66,-8.48
Zeta Potential (mV)-ND,-1,t,1,0.16,21.3548,-28.32,3.74,2.93,-342.1896,0.66,-8.48
IC50 (µg/mL),-1,v,0,0.26,21.3548,-28.32,3.74,2.93,-342.1896,0.66,-8.48
Fluorescence Intensity-ND,1,t,1,0.35,21.3548,-28.32,3.74,2.93,-342.1896,0.66,-8.48
Fluorescence-ND ,1,t,0,0.24,30.3756,241.68,0.38,-0.13,95.9422,0.57,7.28
Fluorescence-ND ,1,t,1,0.16,0.0000,8.68,0.38,-0.13,58.3178,-0.26,7.28
Fluorescence-ND ,1,v,1,0.13,0.0000,8.68,0.00,-0.86,-291.5889,-3.27,0.00
Fluorescence-ND ,1,t,1,0.16,0.0000,8.68,0.38,1.39,58.3178,-0.26,7.28
Fluorescence-ND ,1,t,1,0.13,0.0000,8.68,0.00,1.18,0.0000,0.66,0.00
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
